video_id,title,publishedAt,thumbnail,duration,viewCount,likeCount,commentCount
7dYGGa2K5qs,Shia LaBeouf Gets HONEST About Filming Megalopolis,2025-06-13T17:05:00Z,https://i.ytimg.com/vi/7dYGGa2K5qs/hqdefault.jpg,PT8M3S,10212,203,36
iVqUeM4d6VQ,David Mamet & Shia LaBeouf DESTROY Our Crew!,2025-06-11T18:05:01Z,https://i.ytimg.com/vi/iVqUeM4d6VQ/hqdefault.jpg,PT9M58S,22468,440,28
OKF4zHtSmL4,Shia LaBeouf Roasts Bobby Lee,2025-06-10T18:00:20Z,https://i.ytimg.com/vi/OKF4zHtSmL4/hqdefault.jpg,PT12M5S,158131,2766,209
05frdIJh27g,Dax Flame Takes Dating Advice from Bobby Lee,2025-06-07T16:00:02Z,https://i.ytimg.com/vi/05frdIJh27g/hqdefault.jpg,PT14M39S,10937,213,20
7w0dx3vtQHA,Andrew Santino's HILARIOUS Russian Accent,2025-06-06T17:00:11Z,https://i.ytimg.com/vi/7w0dx3vtQHA/hqdefault.jpg,PT8M46S,11398,250,22
QOrJrDcarOk,Bobby Lee's Ren Fair Shenanigans,2025-06-05T17:30:07Z,https://i.ytimg.com/vi/QOrJrDcarOk/hqdefault.jpg,PT9M33S,9944,186,14
iqcZ2lO9UOI,Bobby Lee & Andrew Santino Use Dark Magic for REVENGE!,2025-06-04T16:01:16Z,https://i.ytimg.com/vi/iqcZ2lO9UOI/hqdefault.jpg,PT10M47S,9815,196,22
4SuWCwxje5I,Bobby Lee was RECAST in Death & Ramen?!,2025-06-03T16:00:07Z,https://i.ytimg.com/vi/4SuWCwxje5I/hqdefault.jpg,PT10M42S,14048,263,22
YMFpCcuRty8,Someones getting fired....,2025-05-30T17:00:45Z,https://i.ytimg.com/vi/YMFpCcuRty8/hqdefault.jpg,PT10M49S,39711,700,64
iFmvsM0ohQU,Bobby Lee Fights EVERYONE on the Podcast!?,2025-05-29T17:00:56Z,https://i.ytimg.com/vi/iFmvsM0ohQU/hqdefault.jpg,PT10M,34215,660,63
uEs0eUU4Rd4,Bobby Lee STORMED OUT After This?!,2025-05-28T16:01:38Z,https://i.ytimg.com/vi/uEs0eUU4Rd4/hqdefault.jpg,PT11M2S,23284,518,31
mBWXmvxcU3A,We Sent Dax Flame to Japan,2025-05-27T17:30:17Z,https://i.ytimg.com/vi/mBWXmvxcU3A/hqdefault.jpg,PT9M52S,15257,291,31
Rcr2zdVa9M8,"""That looks nothing like me!"" Bobby Lee Hates The Korean Deer",2025-05-24T16:00:39Z,https://i.ytimg.com/vi/Rcr2zdVa9M8/hqdefault.jpg,PT11M2S,39030,742,57
