videoId,title,publishedAt,duration,viewCount,likeCount,commentCount,thumbnail
G9IKTz7_PxE,Badminton 1v1... #shorts,2024-05-11T22:41:15Z,PT59S,50601886,1235536,3963,https://i.ytimg.com/vi/G9IKTz7_PxE/hqdefault.jpg
g6t9a9aKid4,I Shocked My Little Brother... #shorts,2024-07-12T18:19:06Z,PT1M,46668676,894165,6351,https://i.ytimg.com/vi/g6t9a9aKid4/hqdefault.jpg
Y5mSXmkx5Sc,I Bought My Brother a NEW Chair... #shorts,2024-11-20T19:26:03Z,PT59S,32515416,714230,3929,https://i.ytimg.com/vi/Y5mSXmkx5Sc/hqdefault.jpg
Un46Ew7ZwhA,I Gave my Brother a HAIRCUT 😲 #shorts,2024-02-05T00:34:49Z,PT59S,26969746,683277,6787,https://i.ytimg.com/vi/Un46Ew7ZwhA/hqdefault.jpg
lLygHXzpWR4,I Tricked My Little Brother... #shorts #invideoaipartner,2025-01-16T20:18:55Z,PT1M14S,23539421,647326,3653,https://i.ytimg.com/vi/lLygHXzpWR4/hqdefault.jpg
0gFRfJvZcRM,Stretchiest Phone Case… #shorts,2024-11-10T20:59:52Z,PT1M,23366064,503429,3358,https://i.ytimg.com/vi/0gFRfJvZcRM/hqdefault.jpg
N11caX3U6Us,Building my subscriber a FREE gaming PC... #shorts,2024-10-03T02:18:27Z,PT58S,21526572,1075697,62338,https://i.ytimg.com/vi/N11caX3U6Us/hqdefault.jpg
QGZ5Kopl3KA,I Made an Anti-Rage Device... #shorts,2023-11-18T20:17:36Z,PT1M,20776831,550370,3586,https://i.ytimg.com/vi/QGZ5Kopl3KA/hqdefault.jpg
MnHy5Jbeh_E,Building my Brother an INSANE Gaming PC... #shorts,2024-09-13T18:04:43Z,PT55S,20396740,590496,6184,https://i.ytimg.com/vi/MnHy5Jbeh_E/hqdefault.jpg
L_utWG3251Y,I Got a FREE Gaming Laptop... #shorts,2024-09-16T18:48:00Z,PT48S,18754355,451922,3977,https://i.ytimg.com/vi/L_utWG3251Y/hqdefault.jpg
