video_id,title,publishedAt,thumbnail,duration,viewCount,likeCount,commentCount
GcM9SGlrNLs,Andrew Santino Perfectly Guesses What Bobby Lee Is Wearing | Bad Friends #Shorts,2021-12-07T02:00:36Z,https://i.ytimg.com/vi/GcM9SGlrNLs/hqdefault.jpg,PT46S,11643219,724839,2133
DQxrVWprUS4,Bobby Lee Gets Caught In A Lie About His Height | Bad Friends #Shorts,2021-09-18T04:29:34Z,https://i.ytimg.com/vi/DQxrVWprUS4/hqdefault.jpg,PT56S,9077221,511457,1659
v3CjNs0lpw4,Sketch & Bobby Lee CAN'T STOP Roasting Each Other!,2024-10-04T17:33:00Z,https://i.ytimg.com/vi/v3CjNs0lpw4/hqdefault.jpg,PT11M34S,4637610,54444,1491
VfWOSM2Eixk,Bobby Lee is DISGUSTED by 'I Want To Be Ninja' Viral Video | Bad Friends Clips,2020-05-14T16:00:14Z,https://i.ytimg.com/vi/VfWOSM2Eixk/hqdefault.jpg,PT8M14S,3472592,71082,5090
EU4juxuPR74,Bill Burr Roasts Bobby Lee,2024-09-13T18:22:01Z,https://i.ytimg.com/vi/EU4juxuPR74/hqdefault.jpg,PT14M48S,2752468,39142,1569
_XkhkVdc26M,The First Thing Bobby Lee Says When He Wakes Up | Bad Friends #Shorts,2021-09-18T04:51:42Z,https://i.ytimg.com/vi/_XkhkVdc26M/hqdefault.jpg,PT58S,2513053,179000,578
JqLj9RpXle4,Rudy Rates Chris Distefano in Front of Him | Bad Friends #Shorts,2021-10-05T20:50:38Z,https://i.ytimg.com/vi/JqLj9RpXle4/hqdefault.jpg,PT44S,1861965,52498,1476
GzdkbCBXD-Y,"Andrew Schulz Has Had Enough of Rudy, Khalyla’s Spy #Shorts",2022-07-25T20:04:27Z,https://i.ytimg.com/vi/GzdkbCBXD-Y/hqdefault.jpg,PT23S,1743823,61668,1847
EZgJtTpcc7Y,What Eating With Joe Rogan Is Really Like | Bad Friends Clips,2020-05-23T21:00:03Z,https://i.ytimg.com/vi/EZgJtTpcc7Y/hqdefault.jpg,PT13M51S,1632405,20127,1691
35kHHJyFo_M,Rudy Misses Living With Bobby Lee! | Bad Friends Clips,2023-02-13T20:58:41Z,https://i.ytimg.com/vi/35kHHJyFo_M/hqdefault.jpg,PT6M47S,1431712,19740,925
4QkTz8bqWRU,Rudy Brings A Knife To The Studio & Bobby Is Terrified  | Bad Friends Clips,2020-07-21T16:00:02Z,https://i.ytimg.com/vi/4QkTz8bqWRU/hqdefault.jpg,PT6M57S,1385331,27144,1573
tJ1F22UQJvo,"""I'm Not Gay No More"" | Bobby Lee and Andrew Santino React to Viral Video",2021-01-28T19:00:11Z,https://i.ytimg.com/vi/tJ1F22UQJvo/hqdefault.jpg,PT14M14S,1381056,17584,1410
oK-izs9w1CI,Rudy Reacts to The New Rudy Auditions | Bad Friends Clips w/ Andrew Santino and Bobby Lee,2021-04-14T17:00:16Z,https://i.ytimg.com/vi/oK-izs9w1CI/hqdefault.jpg,PT17M25S,1224558,18021,889
bbMA8WFTnjI,Rudy SLAMS Andrew Schulz to His Face | Bad Friends Clips x Flagrant,2022-08-04T20:00:10Z,https://i.ytimg.com/vi/bbMA8WFTnjI/hqdefault.jpg,PT9M11S,1136468,15638,1061
CSoq0_xVoS0,Rudy Goes too Far Roasting Bobby Lee | Bad Friends Clips W/ Andrew Santino,2021-09-14T00:30:01Z,https://i.ytimg.com/vi/CSoq0_xVoS0/hqdefault.jpg,PT6M45S,1081049,15520,880
njLYQrxLHfw,Rudy's Visitor From The East! | Bad Friends Clips,2022-12-20T18:00:19Z,https://i.ytimg.com/vi/njLYQrxLHfw/hqdefault.jpg,PT11M26S,1045055,18617,1091
STuLCR7YF28,Angry Grandma DESTROYS Bobby Lee,2024-06-19T16:00:29Z,https://i.ytimg.com/vi/STuLCR7YF28/hqdefault.jpg,PT16M47S,1024155,18315,997
oz4Kt-KkRrU,Bobby Lee Losses It Over Andrew Santino's Birthday Gifts | Bad Friends Clips,2021-10-22T01:45:01Z,https://i.ytimg.com/vi/oz4Kt-KkRrU/hqdefault.jpg,PT10M59S,1023933,15160,481
-CNb9Nlmy58,Andrew Santino and Bobby Lee React To Rudy's First Stand Up Set | Bad Friends Clips,2021-07-19T19:15:00Z,https://i.ytimg.com/vi/-CNb9Nlmy58/hqdefault.jpg,PT12M35S,923316,16022,967
