videoId,title,publishedAt,duration,viewCount,likeCount,commentCount,thumbnail
lvZFaWbUBy0,ROOMMATE RATES MY BIKINI COLLECTION,2022-05-18T15:00:26Z,PT15M24S,7075933,120379,2330,https://i.ytimg.com/vi/lvZFaWbUBy0/hqdefault.jpg
Q2_CkkXrvqs,he looks better in my clothes than me #shorts,2022-04-10T19:40:36Z,PT37S,3945194,246345,931,https://i.ytimg.com/vi/Q2_CkkXrvqs/hqdefault.jpg
eSSX3Iq69rk,i kissed my roommate...,2022-01-20T03:04:14Z,PT16M49S,3256709,102647,3462,https://i.ytimg.com/vi/eSSX3Iq69rk/hqdefault.jpg
g68nRr0iohg,how to tame your FRIZZY hair,2019-07-16T18:40:49Z,PT4M39S,3099920,69055,1666,https://i.ytimg.com/vi/g68nRr0iohg/hqdefault.jpg
b8p4qw-tEeo,I turned my brother into BTS Jungkook,2020-07-04T19:48:08Z,PT11M41S,2930277,189474,13071,https://i.ytimg.com/vi/b8p4qw-tEeo/hqdefault.jpg
ISe20toy5KA,i asked my roommate on a date...,2022-02-16T15:27:41Z,PT15M56S,2800243,102106,2093,https://i.ytimg.com/vi/ISe20toy5KA/hqdefault.jpg
IP9Ai9uc8Z8,TRYING NEW BIKINI STYLES aka testing my comfort zone | Lounge,2020-07-31T20:24:07Z,PT11M15S,2411961,45479,919,https://i.ytimg.com/vi/IP9Ai9uc8Z8/hqdefault.jpg
H2i9lVUZGPw,I cooked like Nara Smith for 24 hours...,2024-03-31T17:29:34Z,PT18M41S,2128045,60301,850,https://i.ytimg.com/vi/H2i9lVUZGPw/hqdefault.jpg
HcF9AEczdFI,so... there's this boy,2022-02-20T19:53:25Z,PT8M12S,2090309,104942,2572,https://i.ytimg.com/vi/HcF9AEczdFI/hqdefault.jpg
eECILmFw9RA,I switched diets with my brother for a day,2019-11-01T20:28:43Z,PT13M11S,2059475,77512,2913,https://i.ytimg.com/vi/eECILmFw9RA/hqdefault.jpg
